END time,END hour,Tair,PAR,Tsoil,VWC,H2O,CO2,CH4,co2_dcdt_lin_B,co2_flux_lin_B,co2_rmse_lin_B,co2_dcdt_exp_B,co2_flux_exp_B,co2_rmse_exp_B,ch4_dcdt_lin_B,ch4_flux_lin_B,ch4_rmse_lin_B,ch4_dcdt_exp_B,ch4_flux_exp_B,ch4_rmse_exp_B
21-Jun-2019 00:03:18,  1.0000e+00,         NaN,         NaN,         NaN,         NaN,  8.5495e+03,  2.8536e+02,  1.8652e+00,  4.4013e-03,  3.6007e-02,  7.0859e-02,  1.0216e-02,  8.3576e-02,  8.5042e-02,  7.1049e-06,  5.8126e-05,  4.4129e-04,  1.8357e-05,  1.5018e-04,  4.6975e-04,
21-Jun-2019 01:03:18,  2.0000e+00,         NaN,         NaN,         NaN,         NaN,  8.6176e+03,  2.8508e+02,  1.8671e+00, -1.1950e-04, -9.7760e-04,  8.0454e-02,  1.2268e-03,  1.0036e-02,  6.7119e-02, -1.8325e-06, -1.4991e-05,  5.2679e-04, -3.9999e-05, -3.2721e-04,  5.2266e-04,
21-Jun-2019 02:03:18,  3.0000e+00,         NaN,         NaN,         NaN,         NaN,  8.4320e+03,  2.8302e+02,  1.8683e+00,  6.6581e-04,  5.4477e-03,  7.9317e-02, -6.5741e-04, -5.3790e-03,  7.8621e-02,  3.1515e-07,  2.5786e-06,  4.3929e-04,  5.3418e-07,  4.3707e-06,  4.0373e-04,
21-Jun-2019 03:03:18,  4.0000e+00,         NaN,         NaN,         NaN,         NaN,  8.5310e+03,  2.8254e+02,  1.8689e+00, -3.8860e-03, -3.1792e-02,  7.9953e-02, -8.0397e-04, -6.5775e-03,  1.0325e-01, -1.2980e-06, -1.0619e-05,  4.8572e-04, -4.6305e-05, -3.7883e-04,  4.8279e-04,
21-Jun-2019 04:03:18,  5.0000e+00,         NaN,         NaN,         NaN,         NaN,  8.6507e+03,  2.8223e+02,  1.8687e+00,  1.5971e-03,  1.3065e-02,  7.9531e-02, -1.3966e-03, -1.1424e-02,  9.4068e-02, -4.6192e-06, -3.7786e-05,  5.9849e-04, -9.8644e-05, -8.0693e-04,  6.1428e-04,
21-Jun-2019 05:03:18,  6.0000e+00,         NaN,         NaN,         NaN,         NaN,  9.2705e+03,  2.8111e+02,  1.8677e+00,  1.0881e-03,  8.8957e-03,  7.2885e-02,  6.2464e-03,  5.1065e-02,  8.6063e-02,  5.8755e-07,  4.8033e-06,  4.2541e-04, -2.9916e-07, -2.4457e-06,  4.4207e-04,
21-Jun-2019 06:03:18,  7.0000e+00,         NaN,         NaN,         NaN,         NaN,  1.0885e+04,  2.8019e+02,  1.8694e+00,  6.3102e-03,  5.1503e-02,  6.5536e-02, -5.2924e-04, -4.3196e-03,  9.7614e-02, -4.2043e-07, -3.4314e-06,  4.4187e-04, -4.8447e-05, -3.9542e-04,  4.4148e-04,
21-Jun-2019 07:03:18,  8.0000e+00,         NaN,         NaN,         NaN,         NaN,  1.1963e+04,  2.7972e+02,  1.8706e+00,  9.2513e-04,  7.5425e-03,  9.4544e-02, -5.0649e-03, -4.1293e-02,  1.1052e-01, -3.5716e-06, -2.9119e-05,  4.7925e-04, -3.1960e-05, -2.6057e-04,  4.7992e-04,
21-Jun-2019 08:03:18,  9.0000e+00,         NaN,         NaN,         NaN,         NaN,  1.1641e+04,  2.7943e+02,  1.8665e+00, -3.3285e-03, -2.7145e-02,  8.8746e-02, -3.4267e-02, -2.7946e-01,  1.4019e-01,  4.2459e-06,  3.4628e-05,  5.4090e-04,  3.1440e-05,  2.5641e-04,  5.1473e-04,
21-Jun-2019 09:03:18,  1.0000e+01,         NaN,         NaN,         NaN,         NaN,  1.1621e+04,  2.7966e+02,  1.8657e+00,  3.1884e-03,  2.6004e-02,  9.6620e-02, -1.4842e-03, -1.2105e-02,  8.7276e-02, -6.2239e-07, -5.0760e-06,  4.3740e-04, -4.7372e-07, -3.8635e-06,  5.0887e-04,
